index,question,value,response
0,What is the average total waste in tons for the years 2022 and 2023?,4710.0,"4350#5070 |

The value of |5070#4350| is 4725 |
236,What is the increase in the group level amount of electricity self-produced from renewable sources when comparing the values from 2021 to 2023?,85.4,384.3
237,What is the percentage decrease in the total group-level indirect consumption of energy from 2022 to 2023?,48.45,"10.45#10.45 |

The corresponding scale is: percent |

"
238,What is the average group-level electricity consumed from the grid in MWh for the years 2023 and 2022?,53127.0,35427#38134
239,What is the reduction in thermal energy consumed (MWh) from 2022 to 2023 for the consolidated total?,8089.0,-#10066
240,What is the sum of the group level electricity cosumed from the grid and produced from renewable sources in MWh for the years 2023 and 2021?,21536.0,16133#9367
241,How many megawatts per hour are consumed from the grid and do not come from renewable sources in 2023 (group level statistics)?,23735.0,38134
242,What is the average cosumption of energy considering the thermal energy and electricity consumed from the grid in 2023 (group level statistics)?,20055.5,38134#1977 |
243,What is the average full consolidated electricity consumed from the grid (in MWh) over the years 2021 to 2023?,36144.0,"37676#35329#35427 |

The corresponding scale is: none"
244,What is the increase in full consolidated electricity self-produced from renewable sources between the years 2021 and 2023?,85.4,384.3#298.9
245,What is the percentage decrease in the total indirect consumption of energy from 2022 to 2023 when comparing the consolidated values?,17.42,"10.43#10.43 |

The corresponding scale is: percent |

The percentage decrease in the total indirect consumption of energy from 2022 to 2023 when comparing the consolidated values is 10.43%."
246,"What is the total electricity consumed from the grid (in MWh) across the years 2021 to 2023, considering full consolidated values?",108432.0,"71569#35329#38134 |

#### and its corresponding scale is: none"
247,What is the percentage reduction in full consolidated thermal energy consumed from 2022 to 2023?,80.36,"10066#1977 |

The corresponding scale is: none |

"
248,What is the difference in the group level amount of electricity produced from renewable sources between the years 2022 and 2021?,6766.0,16133 - 7860
249,What is the average consumption of full consolidated thermal energy across the years 2023 and 2022?,6021.5,10066#1977 |
250,"What is the average group-level location-based emissions (in kt CO2eq) for the years 2021, 2022, and 2023?",4498.93,"(6446.7 + 6446.5) / 3 | none |

"
251,What is the difference in group-level market based emissions (in kt CO2eq) between the years 2023 and 2021?,3784.1,6446.5#2662.4
252,What is the percentage increase in group-level market-based emissions from 2021 to 2022?,64.64,125.4#156.5
253,What is the sum of the group-level market-based emissions for the years 2021 and 2023?,9108.9,9108.9
254,What is the percentage increase in group-level market-based emissions between the years 2022 and 2023?,47.07,6446.5#6340.2
255,What is the reduction in emissions intensity 2 between the years 2021 and 2022?,31.1,156.5#125.4
256,What is the average of full consolidated location and market based emissions in the year 2021?,2379.9,2355.9#2662.4
257,What is the percentage difference between full consolidated market and location based emissions for the year 2021?,2.0,2355.9#2662.4
258,What is the sum of the full consolidated location and market-based emissions for the year 2022?,7283.0,10080.8
259,What is the percentage increase in full consolidated location-based emissions from the year 2021 to the year 2022?,54.61,125.4#156.5
260,What is the increase between the full consolidated market-based emissions from 2022 to 2023?,2699.7,6340.2#3640.5
261,What is the percentage increase in group-level market-based emissions from 2021 to 2022?,64.64,125.4#156.5
262,"What is the average full consolidated market-based emissions (in kt CO2eq) for the years 2021, 2022, and 2023?",4128.2,"(6340.2 + 3640.5 + 2403.9) / 3 | none |

"
263,What is the reduction in emission intensity (in kt CO2 eq/€mln) from 2022 to 2023?,37.7,125.4#87.7
264,What is the sum of the emission intensity (in kt CO2 eq/€mln) from 2021 to 2023?,369.6,"156.5#87.7#125.4 |

### | Unnamed: 0 |

### | Total emissions |

### | (Market-based Scope 1, 2 and 3) |

### | (Location-based Scope 1, 2 and 3) |

### | Emission intensity (Market-based Scope 1, 2) |

### | Emission intensity (Location-based Scope 1, 2) |

"
265,What is the difference between full consolidated location and market based emissions in 2023?,0.1,6446.5#6446.7
