pdf name,gri,page nbr,table nbr,question,question_type_ext,value,row indices,col indices,row/column spanning,metadata
['OTC_SAPMY_2023.pdf'],305,[147],[0],"Independently on group or full consolidated, what are the six values of market-based total emissions from the years 2021 to 2023, when ranked in ascending order?",rank,"2403.9, 2662.4, 3640.5, 4383.3, 6340.2, 6446.5","[6, 6, 6, 6, 6, 6]","[3, 4, 5, 6, 7, 8]",0,"{'desc': False, 'firstk': 6.0, 'lowest-highest': 0.0}"
['OTC_SAPMY_2023.pdf'],305,[147],[0],Is the value of the market-based group emissions higher than the one for full consolidated scenarios in 2021?,comparative,yes,"[6, 6]","[7, 8]",0,{'maximise': True}
['OTC_SAPMY_2023.pdf'],305,[147],[0],"What are the two highest emission intensity values (in kt CO2 eq/€mln) for Market-based Scope 1, 2 and 3 from the years 2022 and 2023 in descending order?",rank,"156.5, 125.4","[8, 8, 8]","[3, 5, 7]",0,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 1.0}"
['OTC_SAPMY_2023.pdf'],305,[147],[0],Is the emission intensity (in kt CO2 eq/€mln) for Market-based Scope 1 and 2 for the year 2022 smaller than in 2021?,comparative,yes,"[8, 8]","[5, 7]",0,{'maximise': False}
['OTC_SAPMY_2023.pdf'],305,[147],[0],Is the value of location-based group total emissions lower than market based emissions for the year 2021?,comparative,no,"[4, 6]","[7, 7]",1,{'maximise': False}
['OTC_SAPMY_2023.pdf'],305,[147],[0],Is the group total emissions location based (in kt CO2eq) for the year 2021 lower than the one for the year 2023?,comparative,yes,"[4, 4]","[7, 3]",0,{'maximise': False}
['OTC_SAPMY_2023.pdf'],305,[147],[0],"What is the maximum value of market-based group total emissions (in kt CO2eq) between the year 2023, 2022 and 2021?",superlative,6446.5,"[6, 6, 6]","[3, 5, 7]",0,{'maximise': True}
['OTC_SAPMY_2023.pdf'],305,[147],[0],"What is the minimum value of full consolidated market-based Scope 1, 2 and 3 emissions (in kt CO2eq) between the years 2021, 2022, 2023?",superlative,2403.9,"[6, 6, 6]","[4, 6, 8]",0,{'maximise': False}
['OTC_SAPMY_2023.pdf'],305,[147],[0],"Is the group total value of the market-based Scope 1, 2 and 3 emissions (in kt CO2eq) for the year 2021 greater than in 2022?",comparative,no,"[6, 6]","[7, 5]",0,{'maximise': True}
['OTC_SAPMY_2023.pdf'],305,[147],[0],"What are the three emission intensity values market-based from the years 2023, 2022, and the previous year, ranked in descending order?",rank,"156.5, 125.4, 87.7","[8, 8, 8]","[3, 5, 7]",0,"{'desc': True, 'firstk': 3.0, 'lowest-highest': 0.0}"
['OTC_SAPMY_2023.pdf'],305,[147],[0],"What are the three emission intensity values market-based from the years 2023, 2022, and the previous year, ranked in ascending order?",rank,"87.7, 125.4, 156.5","[8, 8, 8]","[3, 5, 7]",0,"{'desc': False, 'firstk': 3.0, 'lowest-highest': 0.0}"
['OTC_ADDDF_2023.pdf'],301,[110],[0],"What is the highest value of absolute annual CO2e Scope 1 and Scope 2 net emissions reported for the years 2021, 2022, and 2023?",superlative,164236,"[9, 9, 9]","[2, 3, 4]",1,{'maximise': True}
['OTC_ADDDF_2023.pdf'],301,[110],[0],Is the value of absolute annual CO2 Scope 1 and Scope 2 net emissions (in tons) in own operations for the year 2022 greater than the previous year?,comparative,yes,"[9, 9]","[3, 4]",1,{'maximise': True}
['OTC_ADDDF_2023.pdf'],305,[110],[0],Is the absolute annual CO2 Scope 1 and Scope 2 net emissions (in tons) in own operations for the year 2022 lower than for the year 2023?,comparative,yes,"[9, 9]","[3, 2]",0,{'maximise': False}
['OTC_ADDDF_2023.pdf'],305,[110],[0],Is the percentage of more sustainable cotton sourced in the year 2021 smaller than in the year 2022?,comparative,no,"[5, 5]","[4, 3]",0,{'maximise': False}
['OTC_ADDDF_2023.pdf'],305,[110],[0],Is the percentage of sustainable cotton lower than the one for recycled polyester in 2021?,comparative,no,"[5, 4]","[4, 4]",1,{'maximise': False}
['OTC_ADDDF_2023.pdf'],305,[110],[0],Is the percentage of sustainable cotton greater than the one for recycled polyester in 2022?,comparative,yes,"[5, 4]","[3, 3]",1,{'maximise': True}
['OTC_ADDDF_2023.pdf'],305,[110],[0],"What are the three absolute annual CO2e Scope 1 and Scope 2 net emissions values from the years 2021, 2022, and 2023 in increasing order?",rank,"138411.0, 164149.0, 164236.0","[9, 9, 9]","[2, 3, 4]",0,"{'desc': False, 'firstk': 3.0, 'lowest-highest': 0.0}"
