,companies,answer_value,answer_company,unit,years,question,operation,GRI,out
178,"['OTC_ADDDF_2023_84_0', 'OTC_ESOCF_2023_137_0', 'munich-re_2023_46_0']",[71040000.  7635784.],['OTC_ESOCF' 'OTC_ADDDF'],tCO2e,[2022],Which companies have the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tCO2e?,rank,305,"OTC_ESOCF, OTC_ADDDF"
179,"['OTC_BAYZF_2023_63_0', 'OTC_ESOCF_2023_137_0', 'vivendi_2023_105_0']",[5100000. 1120000.],['OTC_ESOCF' 'OTC_BAYZF'],TCO2eq,[2022],Which companies have the 2 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,rank,305,"OTC_ESOCF, OTC_BAYZF"
180,"['OTC_BAYZF_2023_63_0', 'OTC_ESOCF_2023_137_0', 'munich-re_2023_46_0']",[3.451e+01 1.890e+00 3.000e-02],['OTC_ESOCF' 'OTC_BAYZF' 'munich-re'],Million metric tons of CO2 equivalents,[2023],Which companies have the 3 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"OTC_ESOCF, OTC_BAYZF, munich-re"
181,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0', 'OTC_ESOCF_2023_137_0']",[5100000. 1120000.  142293.],['OTC_ESOCF' 'OTC_BAYZF' 'OTC_ADDDF'],tons CO2e,[2022],What are the 3 highest values of market-based scope 2 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,rank,305,"5100000.0, 1120000.0, 142293.0"
182,"['OTC_BAYZF_2023_63_0', 'OTC_ESOCF_2023_137_0', 'vivendi_2023_105_0']",1.88,,MtCO2eq,[2023],What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,mean,305,1.88
183,"['OTC_BAMGF_2023_310_0', 'OTC_BAYZF_2023_132_0', 'OTC_ESOCF_2023_139_0']",45200000.0,OTC_ESOCF,m3,"[2023, 2022]",Which company has the highest water consumption in the years 2023 and 2022 for the following companies in m3?,sup,303,OTC_ESOCF
184,"['NASDAQ_DASTY_2023_141_0', 'OTC_BAYZF_2023_63_0', 'vivendi_2023_105_0']",[ 168709.  770748. 9720000.],['NASDAQ_DASTY' 'vivendi' 'OTC_BAYZF'],TCO2eq,[2022],Which companies have the 3 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,rank,305,"NASDAQ_DASTY, vivendi, OTC_BAYZF"
185,"['NYSE_AZ_2023_60_0', 'axa_2023_179_0', 'munich-re_2023_46_0']",[21598. 31774. 33093.],['axa' 'NYSE_AZ' 'munich-re'],tCO2eq,[2023],Which companies have the 3 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,rank,305,"axa, NYSE_AZ, munich-re"
186,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0', 'munich-re_2023_46_0']",6059047.0,OTC_ADDDF,tCO2e,[2023],What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2e?,sup,305,6059047.0
187,"['OTC_ESOCF_2023_137_0', 'OTC_RWNEF_2023_79_0', 'munich-re_2023_46_0']",[61900000. 34510000.],['OTC_RWNEF' 'OTC_ESOCF'],tCO2e,[2023],Which companies have the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in tCO2e?,rank,305,"OTC_RWNEF, OTC_ESOCF"
188,"['OTC_DPSGY_2023_3_0', 'deutsche-telekom-ag_2023_46_0', 'heidelberg-materials_2023_374_0']",[329775.  126201.6],['heidelberg-materials' 'OTC_DPSGY'],TJ,[2023],Which companies have the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in TJ?,rank,302,"heidelberg-materials, OTC_DPSGY"
189,"['OTC_RWNEF_2023_79_0', 'munich-re_2023_46_0', 'vivendi_2023_105_0']",23.8,OTC_RWNEF,million mt CO2e,[2022],Which company has the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in million mt CO2e?,sup,305,OTC_RWNEF
190,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0', 'munich-re_2023_46_0']",1.27,,Million metric tons of CO2 equivalents,[2023],What is the sum of GHG emissions Scope 2 in 2023 among the following companies in Million metric tons of CO2 equivalents?,sum,305,1.27
191,"['NASDAQ_DASTY_2023_117_0', 'OTC_SU_2023_310_1', 'heidelberg-materials_2023_374_0']",[9.160424e+07 1.124327e+06 7.121800e+04],['heidelberg-materials' 'OTC_SU' 'NASDAQ_DASTY'],MWh,[2023],Which companies have the top 3 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in MWh?,rank,302,"heidelberg-materials, OTC_SU, NASDAQ_DASTY"
192,"['OTC_ADDDF_2023_84_0', 'OTC_ESOCF_2023_137_0', 'vivendi_2023_105_0']",5100000.0,OTC_ESOCF,TCO2eq,[2022],Which company has the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in TCO2eq?,sup,305,OTC_ESOCF
193,"['NASDAQ_DASTY_2023_141_0', 'NYSE_AZ_2023_60_0', 'OTC_RWNEF_2023_79_0']",[   92467.   168709. 23800000.],['NYSE_AZ' 'NASDAQ_DASTY' 'OTC_RWNEF'],tCO2-eq,[2022],What are the 3 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tCO2-eq?,rank,305,"92467.0, 168709.0, 23800000.0"
194,"['OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0', 'munich-re_2023_46_0']",1.32,,million mt CO2e,[2023],What is the sum of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,sum,305,1.32
195,"['deutsche-telekom-ag_2023_46_0', 'munich-re_2023_47_1', 'prosiebensat1-media_2023_64_0']",26124.96,,GWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in GWh?,sum,302,26124.96
196,"['NASDAQ_DASTY_2023_141_0', 'munich-re_2023_46_0', 'vivendi_2023_105_0']",[168709. 770748.],['NASDAQ_DASTY' 'vivendi'],TCO2eq,[2022],Which companies have the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,rank,305,"NASDAQ_DASTY, vivendi"
197,"['NASDAQ_DASTY_2023_141_0', 'NYSE_AZ_2023_60_0', 'OTC_RWNEF_2023_79_0']",[   92467.   168709. 23800000.],['NYSE_AZ' 'NASDAQ_DASTY' 'OTC_RWNEF'],tCO2-eq,[2022],Which companies have the 3 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tCO2-eq?,rank,305,"NYSE_AZ, NASDAQ_DASTY, OTC_RWNEF"
198,"['NYSE_AZ_2023_60_0', 'axa_2023_179_0', 'vivendi_2023_105_0']",176693.0,,tCO2eq,[2023],What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,sum,305,176693.0
199,"['NASDAQ_DASTY_2023_117_0', 'OTC_SU_2023_310_1', 'heidelberg-materials_2023_374_0']",[9.160424e+07 1.124327e+06 7.121800e+04],['heidelberg-materials' 'OTC_SU' 'NASDAQ_DASTY'],MWh,[2023],What are the top 3 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in MWh?,rank,302,"91604239.95, 1124327.0, 71218.0"
200,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0', 'vivendi_2023_105_0']",7635784.0,OTC_ADDDF,tons CO2e,[2022],Which company has the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tons CO2e?,sup,305,OTC_ADDDF
201,"['OTC_BAYZF_2023_63_0', 'OTC_ESOCF_2023_137_0', 'OTC_RWNEF_2023_79_0']",56.53,OTC_ESOCF,million mt CO2e,[2023],What is the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in million mt CO2e?,sup,305,56.53
202,"['NASDAQ_DASTY_2023_117_0', 'munich-re_2023_47_1', 'prosiebensat1-media_2023_64_0']",313698.0,munich-re,,"[2023, 2022]",What is the largest energy consumption from 2022 to 2023 among the following companies?,sup,302,313698.0
203,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0', 'OTC_ESOCF_2023_137_0']",53.07,OTC_ESOCF,Million metric tons of CO2 equivalents,"[2023, 2022]",What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in Million metric tons of CO2 equivalents?,sup,305,53.07
204,"['NYSE_AZ_2023_60_0', 'OTC_RWNEF_2023_79_0', 'vivendi_2023_105_0']",[200000. 112228.  22042.],['OTC_RWNEF' 'NYSE_AZ' 'vivendi'],tCO2e,[2023],What are the 3 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,rank,305,"200000.0, 112228.0, 22042.0"
205,"['NYSE_AZ_2023_60_0', 'munich-re_2023_46_0', 'vivendi_2023_105_0']",[ 92467. 770748.],['NYSE_AZ' 'vivendi'],tCO2e,[2022],What are the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tCO2e?,rank,305,"92467.0, 770748.0"
206,"['NYSE_TTE_2023_387_3', 'OTC_SU_2023_309_0', 'vivendi_2023_140_0']",898.52,,kt,"[2023, 2022]",What is the total amount of non-hazardous waste produced in the years 2023 and 2022 among the following companies in kt?,sum,306,898.52
207,"['OTC_RWNEF_2023_79_0', 'munich-re_2023_46_0', 'vivendi_2023_105_0']",23.8,OTC_RWNEF,million mt CO2e,[2022],What is the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in million mt CO2e?,sup,305,23.8
208,"['NASDAQ_DASTY_2023_141_0', 'OTC_BAYZF_2023_63_0', 'munich-re_2023_46_0']",1.14,,Million metric tons of CO2 equivalents,[2022],What is the sum of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,sum,305,1.14
209,"['OTC_DPSGY_2023_3_0', 'deutsche-telekom-ag_2023_46_0', 'heidelberg-materials_2023_374_0']",[329775.  126201.6],['heidelberg-materials' 'OTC_DPSGY'],TJ,[2023],What are the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in TJ?,rank,302,"329775.0, 126201.6"
210,"['OTC_BAYZF_2023_63_0', 'OTC_ESOCF_2023_137_0', 'vivendi_2023_105_0']",[0.02 1.12],['vivendi' 'OTC_BAYZF'],Million metric tons of CO2 equivalents,[2022],What are the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"0.02, 1.12"
211,"['OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0', 'munich-re_2023_46_0']",[0.01 0.2 ],['munich-re' 'OTC_RWNEF'],Million metric tons of CO2 equivalents,[2023],Which companies have the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"munich-re, OTC_RWNEF"
212,"['NASDAQ_DASTY_2023_141_0', 'OTC_RWNEF_2023_79_0', 'vivendi_2023_105_0']",8246485.67,,tCO2-eq,[2022],What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,mean,305,8246485.67
213,"['NASDAQ_DASTY_2023_117_0', 'deutsche-telekom-ag_2023_46_0', 'munich-re_2023_47_1']",13253000,deutsche-telekom-ag,MWh,"[2023, 2022]",Which company has the highest energy consumed in the last 2 years among the following companies in MWh?,sup,302,deutsche-telekom-ag
214,"['OTC_ESOCF_2023_137_0', 'OTC_RWNEF_2023_79_0', 'vivendi_2023_105_0']",[0.02 0.2  3.28],['vivendi' 'OTC_RWNEF' 'OTC_ESOCF'],MtCO2eq,[2023],Which companies have the 3 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in MtCO2eq?,rank,305,"vivendi, OTC_RWNEF, OTC_ESOCF"
215,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0', 'axa_2023_179_0']",1910000.0,OTC_BAYZF,tons CO2e,"[2023, 2022]",What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tons CO2e?,sup,305,1910000.0
216,"['NYSE_AZ_2023_60_0', 'OTC_ADDDF_2023_84_0', 'vivendi_2023_105_0']",64093.0,,TCO2eq,[2022],What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in TCO2eq?,mean,305,64093.0
217,"['OTC_SU_2023_310_1', 'deutsche-telekom-ag_2023_46_0', 'heidelberg-materials_2023_374_0']",363226.0,heidelberg-materials,TJ,"[2023, 2022, 2021]",Which company has the highest energy consumed in the last 3 years among the following companies in TJ?,sup,302,heidelberg-materials
218,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0', 'munich-re_2023_46_0']",6059047.0,OTC_ADDDF,tCO2e,[2023],Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2e?,sup,305,OTC_ADDDF
219,"['OTC_RWNEF_2023_79_0', 'axa_2023_179_0', 'vivendi_2023_105_0']",[ 22042.  42423. 200000.],['vivendi' 'axa' 'OTC_RWNEF'],TCO2eq,[2023],Which companies have the 3 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in TCO2eq?,rank,305,"vivendi, axa, OTC_RWNEF"
220,"['NYSE_AZ_2023_60_0', 'OTC_BAYZF_2023_63_0', 'OTC_ESOCF_2023_137_0']",53070000.0,OTC_ESOCF,tCO2e,"[2023, 2022]",What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2e?,sup,305,53070000.0
221,"['NASDAQ_DASTY_2023_141_0', 'OTC_BAYZF_2023_63_0', 'munich-re_2023_46_0']",0.38,,Million metric tons of CO2 equivalents,[2023],What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in Million metric tons of CO2 equivalents?,mean,305,0.38
222,"['OTC_RWNEF_2023_79_0', 'axa_2023_179_0', 'vivendi_2023_105_0']",0.26,,million mt CO2e,[2023],What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in million mt CO2e?,sum,305,0.26
223,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0', 'vivendi_2023_105_0']",7635784.0,OTC_ADDDF,tons CO2e,[2022],What is the maximum amount of GHG emissions Scope 3 in 2022 among the following companies in tons CO2e?,sup,305,7635784.0
224,"['OTC_DPSGY_2023_3_0', 'OTC_SU_2023_310_1', 'prosiebensat1-media_2023_64_0']",[3.30900e+01 1.12433e+03 3.50560e+04],['prosiebensat1-media' 'OTC_SU' 'OTC_DPSGY'],million kWh,[2023],Which companies have the top 3 highest values of energy consumed in 2023 (sorted in ascending order) among the following companies in million kWh?,rank,302,"prosiebensat1-media, OTC_SU, OTC_DPSGY"
225,"['NYSE_TTE_2023_387_3', 'OTC_SU_2023_309_0', 'vivendi_2023_140_0']",898521.0,,tons,"[2023, 2022]",What is the total amount of non-hazardous waste produced in the years 2023 and 2022 among the following companies in tons?,sum,306,898521.0
226,"['OTC_SU_2023_310_1', 'heidelberg-materials_2023_374_0', 'prosiebensat1-media_2023_64_0']",33.09,prosiebensat1-media,GWh,"[2023, 2022]",What is the lowest energy consumption over the last 2 years among the following companies in GWh?,sup,302,33.09
227,"['NASDAQ_DASTY_2023_141_0', 'OTC_RWNEF_2023_79_0', 'munich-re_2023_46_0']",40544.67,,tCO2-eq,[2022],What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tCO2-eq?,mean,305,40544.67
228,"['NASDAQ_DASTY_2023_141_0', 'OTC_BAYZF_2023_63_0', 'vivendi_2023_105_0']",9180000.0,OTC_BAYZF,tCO2-eq,[2023],Which company has the maximum amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2-eq?,sup,305,OTC_BAYZF
229,"['NYSE_TTE_2023_387_3', 'OTC_SU_2023_309_0', 'vivendi_2023_140_0']",[322000. 123311.],['NYSE_TTE' 'OTC_SU'],tons,[2022],Which companies have the 2 highest amounts of non-hazardous waste produced in 2022 (sorted in descending order) among the following companies in tons?,rank,306,"NYSE_TTE, OTC_SU"
230,"['NYSE_AZ_2023_60_0', 'axa_2023_179_0', 'vivendi_2023_105_0']",[22042. 42423.],['vivendi' 'axa'],tCO2eq,[2023],What are the 2 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tCO2eq?,rank,305,"22042.0, 42423.0"
231,"['OTC_ESOCF_2023_137_0', 'OTC_RWNEF_2023_79_0', 'axa_2023_179_0']",0.04,axa,MtCO2eq,"[2023, 2022]",What is the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in MtCO2eq?,sup,305,0.04
232,"['OTC_ESOCF_2023_137_0', 'OTC_RWNEF_2023_79_0', 'vivendi_2023_105_0']",3.94,,million mt CO2e,[2022],What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in million mt CO2e?,sum,305,3.94
233,"['NYSE_AZ_2023_60_0', 'OTC_ADDDF_2023_84_0', 'vivendi_2023_105_0']",54869.0,,tCO2e,[2023],What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2e?,mean,305,54869.0
234,"['OTC_RWNEF_2023_79_0', 'munich-re_2023_46_0', 'vivendi_2023_105_0']",85400000.0,OTC_RWNEF,tCO2e,"[2023, 2022]",What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2e?,sup,305,85400000.0
235,"['NYSE_AZ_2023_60_0', 'OTC_ESOCF_2023_137_0', 'axa_2023_179_0']",42423.0,axa,tCO2eq,"[2023, 2022]",What is the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in tCO2eq?,sup,305,42423.0
236,"['OTC_SU_2023_310_1', 'heidelberg-materials_2023_374_0', 'prosiebensat1-media_2023_64_0']",33.09,prosiebensat1-media,GWh,"[2023, 2022]",Which company has the lowest energy consumption over the last 2 years among the following companies in GWh?,sup,302,prosiebensat1-media
237,"['NASDAQ_DASTY_2023_117_0', 'OTC_SU_2023_310_1', 'deutsche-telekom-ag_2023_46_0']",1201276,OTC_SU,,"[2023, 2022]",Which company has the largest energy consumption from 2022 to 2023 among the following companies?,sup,302,OTC_SU
238,"['NYSE_AZ_2023_60_0', 'OTC_BAYZF_2023_63_0', 'vivendi_2023_105_0']",[1890000.   31774.],['OTC_BAYZF' 'NYSE_AZ'],TCO2eq,[2023],What are the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in TCO2eq?,rank,305,"1890000.0, 31774.0"
239,"['OTC_ESOCF_2023_137_0', 'axa_2023_179_0', 'vivendi_2023_105_0']",22042.0,vivendi,TCO2eq,"[2023, 2022]",Which company has the lowest location-based scope 2 GHG emissions in the last 2 years among the following companies in TCO2eq?,sup,305,vivendi
240,"['NYSE_AZ_2023_60_0', 'OTC_ADDDF_2023_84_0', 'axa_2023_179_0']",69985.0,,tCO2eq,[2022],What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,mean,305,69985.0
241,"['NASDAQ_DASTY_2023_117_0', 'OTC_DPSGY_2023_3_0', 'heidelberg-materials_2023_374_0']",347068,heidelberg-materials,,"[2023, 2022]",Which company has the largest energy consumption from 2022 to 2023 among the following companies?,sup,302,heidelberg-materials
242,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0', 'OTC_RWNEF_2023_79_0']",0.12,,million mt CO2e,[2023],What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,mean,305,0.12
243,"['OTC_ADDDF_2023_84_0', 'munich-re_2023_46_0', 'vivendi_2023_105_0']",[10291. 21779. 33093.],['vivendi' 'OTC_ADDDF' 'munich-re'],tons CO2e,[2023],Which companies have the 3 lowest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in ascending order) among the following companies in tons CO2e?,rank,305,"vivendi, OTC_ADDDF, munich-re"
244,"['OTC_BAMGF_2023_310_0', 'OTC_CRERF_2023_72_0', 'OTC_ESOCF_2023_139_0']",[35.4   8.2   5.05],['OTC_ESOCF' 'OTC_CRERF' 'OTC_BAMGF'],millions of m3,[2023],What are the top 3 highest water consumption values (in descending order) for the year 2023 among the following companies in millions of m3?,rank,303,"35.4, 8.2, 5.05"
245,"['OTC_ADDDF_2023_84_0', 'OTC_ESOCF_2023_137_0', 'axa_2023_179_0']",1759821.67,,tCO2eq,[2022],What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,mean,305,1759821.67
246,"['NYSE_TTE_2023_387_3', 'OTC_CRERF_2023_79_0', 'OTC_SU_2023_309_0']",257818,,,"[2023, 2022]",What is the total amount of waste generated from 2022 to 2023 among the following companies?,sum,306,257818
247,"['NYSE_AZ_2023_60_0', 'OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0']",[23.8   9.72],['OTC_RWNEF' 'OTC_BAYZF'],Million metric tons of CO2 equivalents,[2022],Which companies have the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"OTC_RWNEF, OTC_BAYZF"
248,"['OTC_BAMGF_2023_310_0', 'OTC_BAYZF_2023_132_0', 'munich-re_2023_47_0']",6780000.0,OTC_BAYZF,m3,"[2023, 2022]",What is the highest water consumption in the years 2023 and 2022 for the following companies in m3?,sup,303,6780000.0
249,"['OTC_BAMGF_2023_311_0', 'OTC_CRERF_2023_79_0', 'vivendi_2023_140_0']",927880.0,OTC_BAMGF,tons,"[2023, 2022]",What is the highest amount of waste generated in the years 2023 and 2022 among the following companies in tons?,sup,306,927880.0
250,"['OTC_ESOCF_2023_137_0', 'OTC_RWNEF_2023_79_0', 'munich-re_2023_46_0']",[61900000. 34510000.],['OTC_RWNEF' 'OTC_ESOCF'],tCO2e,[2023],What are the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in tCO2e?,rank,305,"61900000.0, 34510000.0"
251,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0', 'munich-re_2023_46_0']",20501959.0,,tCO2-eq,"[2023, 2022]",What is the sum of total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2-eq?,sum,305,20501959.0
252,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0', 'axa_2023_179_0']",1910000.0,OTC_BAYZF,tons CO2e,"[2023, 2022]",Which company has the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tons CO2e?,sup,305,OTC_BAYZF
253,"['NYSE_AZ_2023_60_0', 'OTC_RWNEF_2023_79_0', 'vivendi_2023_105_0']",[0.02 0.11 0.2 ],['vivendi' 'NYSE_AZ' 'OTC_RWNEF'],million mt CO2e,[2023],Which companies have the 3 lowest values of location-based scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in million mt CO2e?,rank,305,"vivendi, NYSE_AZ, OTC_RWNEF"
254,"['OTC_ADDDF_2023_84_0', 'OTC_RWNEF_2023_79_0', 'vivendi_2023_105_0']",85.4,OTC_RWNEF,million mt CO2e,"[2023, 2022]",What is the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in million mt CO2e?,sup,305,85.4
255,"['OTC_BAYZF_2023_132_0', 'OTC_CRERF_2023_72_0', 'OTC_ESOCF_2023_139_0']",6.66,OTC_BAYZF,million cubic meters,"[2023, 2022]",What is the smallest water consumption from 2022 to 2023 among the following companies in million cubic meters?,sup,303,6.66
256,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0', 'munich-re_2023_46_0']",[1110000.  142457.],['OTC_BAYZF' 'OTC_ADDDF'],tCO2e,[2023],Which companies have the 2 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,rank,305,"OTC_BAYZF, OTC_ADDDF"
257,"['OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0', 'munich-re_2023_46_0']",[0.01 0.2 ],['munich-re' 'OTC_RWNEF'],Million metric tons of CO2 equivalents,[2023],What are the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"0.01, 0.2"
258,"['NASDAQ_DASTY_2023_141_0', 'OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0']",[0.  0.2],['NASDAQ_DASTY' 'OTC_RWNEF'],Million metric tons of CO2 equivalents,[2023],What are the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"0.0, 0.2"
259,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0']",0.45,,million mt CO2e,[2022],What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,mean,305,0.45
260,"['OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0', 'vivendi_2023_105_0']",[61.9   1.89],['OTC_RWNEF' 'OTC_BAYZF'],Million metric tons of CO2 equivalents,[2023],Which companies have the 2 highest values of direct GHG emissions (Scope 1) produced in 2023 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,rank,305,"OTC_RWNEF, OTC_BAYZF"
261,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0', 'OTC_ESOCF_2023_137_0']",53.07,OTC_ESOCF,Million metric tons of CO2 equivalents,"[2023, 2022]",Which company has the highest direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in Million metric tons of CO2 equivalents?,sup,305,OTC_ESOCF
262,"['NASDAQ_DASTY_2023_141_0', 'OTC_BAYZF_2023_63_0', 'vivendi_2023_105_0']",[ 168709.  770748. 9720000.],['NASDAQ_DASTY' 'vivendi' 'OTC_BAYZF'],TCO2eq,[2022],What are the 3 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,rank,305,"168709.0, 770748.0, 9720000.0"
263,"['OTC_BAMGF_2023_311_0', 'OTC_SU_2023_309_0', 'vivendi_2023_140_0']",2023203,,,"[2023, 2022]",What is the total amount of waste generated from 2022 to 2023 among the following companies?,sum,306,2023203
264,"['NYSE_TTE_2023_381_0', 'heidelberg-materials_2023_374_0', 'munich-re_2023_47_1']",511.58,,TWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in TWh?,sum,302,511.58
265,"['NASDAQ_DASTY_2023_141_0', 'OTC_BAYZF_2023_63_0', 'OTC_RWNEF_2023_79_0']",1.22,,Million metric tons of CO2 equivalents,[2022],What is the sum of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,sum,305,1.22
266,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0', 'OTC_RWNEF_2023_79_0']",[  3193. 142457.],['NASDAQ_DASTY' 'OTC_ADDDF'],tons CO2e,[2023],What are the 2 lowest values of scope 2 GHG emissions produced in 2023 (sorted in ascending order) among the following companies in tons CO2e?,rank,305,"3193.0, 142457.0"
267,"['NYSE_TTE_2023_387_3', 'OTC_SU_2023_309_0', 'vivendi_2023_140_0']",[322000. 123311.],['NYSE_TTE' 'OTC_SU'],tons,[2022],What are the 2 highest amounts of non-hazardous waste produced in 2022 (sorted in descending order) among the following companies in tons?,rank,306,"322000.0, 123311.0"
268,"['NYSE_AZ_2023_60_0', 'OTC_ADDDF_2023_84_0', 'axa_2023_179_0']",[30490. 37172.],['NYSE_AZ' 'axa'],tons CO2e,[2022],What are the 2 lowest values of market-based scope 2 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in tons CO2e?,rank,305,"30490.0, 37172.0"
